Customer_id,Born_date,City
C001,1998-12-03,Frankfurt
C002,1988-07-03,Frankfurt
C003,1974-12-01,Munich
C004,2002-08-27,Frankfurt
C005,1967-03-05,Cologne
C006,1980-01-10,Frankfurt
C007,1998-04-07,Munich
C008,1978-02-26,Munich
C009,1982-08-09,Cologne
C010,1970-04-07,Hamburg
C011,1970-02-09,Hamburg
C012,1983-06-08,Frankfurt
C013,1995-06-12,Berlin
C014,1999-10-02,Frankfurt
C015,1983-04-01,Cologne
C016,1962-06-16,Cologne
C017,1981-02-23,Cologne
C018,1961-10-23,Cologne
C019,1983-12-24,Cologne
C020,2003-02-05,Munich
C021,1989-10-03,Hamburg
C022,1997-04-12,Cologne
C023,1961-08-08,Berlin
C024,1980-07-22,Berlin
C025,1992-12-27,Berlin
C026,1971-09-03,Berlin
C027,1981-08-01,Munich
C028,2003-05-03,Berlin
C029,1984-02-05,Cologne
C030,1986-05-15,Frankfurt
C031,2001-08-14,Berlin
C032,1987-10-03,Munich
C033,1975-09-01,Munich
C034,1974-12-05,Berlin
C035,2003-12-26,Frankfurt
C036,1962-12-23,Berlin
C037,1996-09-14,Munich
C038,1966-01-07,Hamburg
C039,1980-09-27,Cologne
C040,1968-07-09,Munich
C041,1998-09-15,Berlin
C042,1977-08-15,Cologne
C043,1963-01-26,Berlin
C044,1984-12-10,Berlin
C045,1973-08-13,Hamburg
C046,1968-08-19,Cologne
C047,1985-11-07,Cologne
C048,1961-03-17,Hamburg
C049,1979-01-20,Munich
C050,1987-08-04,Berlin
